county,precinct,office,district,candidate,party,votes,early_voting,mail,election_day
Lamar,PRECINCT 1A3B,REGISTERED VOTERS,,REGISTERED VOTERS,,915,,,
Lamar,PRECINCT 1A5A,REGISTERED VOTERS,,REGISTERED VOTERS,,1699,,,
Lamar,PRECINCT 1B,REGISTERED VOTERS,,REGISTERED VOTERS,,176,,,
Lamar,PRECINCT 1C,REGISTERED VOTERS,,REGISTERED VOTERS,,252,,,
Lamar,PRECINCT 1D,REGISTERED VOTERS,,REGISTERED VOTERS,,602,,,
Lamar,PRECINCT 1E,REGISTERED VOTERS,,REGISTERED VOTERS,,618,,,
Lamar,PRECINCT 1E7C,REGISTERED VOTERS,,REGISTERED VOTERS,,950,,,
Lamar,PRECINCT 1F,REGISTERED VOTERS,,REGISTERED VOTERS,,730,,,
Lamar,PRECINCT 1G,REGISTERED VOTERS,,REGISTERED VOTERS,,519,,,
Lamar,PRECINCT 1H,REGISTERED VOTERS,,REGISTERED VOTERS,,441,,,
Lamar,PRECINCT 1I,REGISTERED VOTERS,,REGISTERED VOTERS,,125,,,
Lamar,PRECINCT 2A1A,REGISTERED VOTERS,,REGISTERED VOTERS,,1311,,,
Lamar,PRECINCT 2B2A,REGISTERED VOTERS,,REGISTERED VOTERS,,1673,,,
Lamar,PRECINCT 2C3A,REGISTERED VOTERS,,REGISTERED VOTERS,,1547,,,
Lamar,PRECINCT 2D,REGISTERED VOTERS,,REGISTERED VOTERS,,667,,,
Lamar,PRECINCT 2E,REGISTERED VOTERS,,REGISTERED VOTERS,,516,,,
Lamar,PRECINCT 2F,REGISTERED VOTERS,,REGISTERED VOTERS,,161,,,
Lamar,PRECINCT 2G,REGISTERED VOTERS,,REGISTERED VOTERS,,274,,,
Lamar,PRECINCT 2H,REGISTERED VOTERS,,REGISTERED VOTERS,,275,,,
Lamar,PRECINCT 3C7G,REGISTERED VOTERS,,REGISTERED VOTERS,,2795,,,
Lamar,PRECINCT 3D,REGISTERED VOTERS,,REGISTERED VOTERS,,696,,,
Lamar,PRECINCT 3E,REGISTERED VOTERS,,REGISTERED VOTERS,,1000,,,
Lamar,PRECINCT 3F,REGISTERED VOTERS,,REGISTERED VOTERS,,440,,,
Lamar,PRECINCT 3G,REGISTERED VOTERS,,REGISTERED VOTERS,,521,,,
Lamar,PRECINCT 3H3C,REGISTERED VOTERS,,REGISTERED VOTERS,,719,,,
Lamar,PRECINCT 3I,REGISTERED VOTERS,,REGISTERED VOTERS,,1073,,,
Lamar,PRECINCT 4A6E,REGISTERED VOTERS,,REGISTERED VOTERS,,1330,,,
Lamar,PRECINCT 4B,REGISTERED VOTERS,,REGISTERED VOTERS,,1574,,,
Lamar,PRECINCT 4C,REGISTERED VOTERS,,REGISTERED VOTERS,,303,,,
Lamar,PRECINCT 4D,REGISTERED VOTERS,,REGISTERED VOTERS,,1265,,,
Lamar,PRECINCT 4E,REGISTERED VOTERS,,REGISTERED VOTERS,,595,,,
Lamar,PRECINCT 4F,REGISTERED VOTERS,,REGISTERED VOTERS,,1553,,,
Lamar,PRECINCT 4G,REGISTERED VOTERS,,REGISTERED VOTERS,,1559,,,
Lamar,PRECINCT 1A3B,BALLOTS CAST,,BALLOTS CAST,,491,259,33,199
Lamar,PRECINCT 1A5A,BALLOTS CAST,,BALLOTS CAST,,742,415,46,281
Lamar,PRECINCT 1B,BALLOTS CAST,,BALLOTS CAST,,129,40,9,80
Lamar,PRECINCT 1C,BALLOTS CAST,,BALLOTS CAST,,177,80,8,89
Lamar,PRECINCT 1D,BALLOTS CAST,,BALLOTS CAST,,366,198,13,155
Lamar,PRECINCT 1E,BALLOTS CAST,,BALLOTS CAST,,422,137,14,271
Lamar,PRECINCT 1E7C,BALLOTS CAST,,BALLOTS CAST,,688,430,76,182
Lamar,PRECINCT 1F,BALLOTS CAST,,BALLOTS CAST,,499,166,21,312
Lamar,PRECINCT 1G,BALLOTS CAST,,BALLOTS CAST,,291,69,23,199
Lamar,PRECINCT 1H,BALLOTS CAST,,BALLOTS CAST,,275,114,7,154
Lamar,PRECINCT 1I,BALLOTS CAST,,BALLOTS CAST,,73,15,0,58
Lamar,PRECINCT 2A1A,BALLOTS CAST,,BALLOTS CAST,,622,340,34,248
Lamar,PRECINCT 2B2A,BALLOTS CAST,,BALLOTS CAST,,644,343,21,280
Lamar,PRECINCT 2C3A,BALLOTS CAST,,BALLOTS CAST,,748,376,40,332
Lamar,PRECINCT 2D,BALLOTS CAST,,BALLOTS CAST,,373,73,19,281
Lamar,PRECINCT 2E,BALLOTS CAST,,BALLOTS CAST,,339,118,20,201
Lamar,PRECINCT 2F,BALLOTS CAST,,BALLOTS CAST,,90,26,3,61
Lamar,PRECINCT 2G,BALLOTS CAST,,BALLOTS CAST,,180,62,5,113
Lamar,PRECINCT 2H,BALLOTS CAST,,BALLOTS CAST,,145,84,8,53
Lamar,PRECINCT 3C7G,BALLOTS CAST,,BALLOTS CAST,,1708,1002,150,556
Lamar,PRECINCT 3D,BALLOTS CAST,,BALLOTS CAST,,451,137,27,287
Lamar,PRECINCT 3E,BALLOTS CAST,,BALLOTS CAST,,682,290,26,366
Lamar,PRECINCT 3F,BALLOTS CAST,,BALLOTS CAST,,317,102,12,203
Lamar,PRECINCT 3G,BALLOTS CAST,,BALLOTS CAST,,368,156,13,199
Lamar,PRECINCT 3H3C,BALLOTS CAST,,BALLOTS CAST,,380,217,41,122
