county,precinct,office,district,party,candidate,votes,early_votes,election_day
Llano,101,President,,REP,Jeb Bush,3,2,1
Llano,101,President,,REP,Over Votes,0,0,0
Llano,101,President,,REP,Under Votes,1,1,0
Llano,101,President,,REP,Rick Santorum,0,0,0
Llano,101,President,,REP,Donald J. Trump,31,19,12
Llano,101,President,,REP,Mike Huckabee,1,1,0
Llano,101,President,,REP,Lindsey Graham,0,0,0
Llano,101,President,,REP,Chris Christie,0,0,0
Llano,101,President,,REP,Ben Carson,8,2,6
Llano,101,President,,REP,John R. Kasich,3,1,2
Llano,101,President,,REP,Ted Cruz,60,40,20
Llano,101,President,,REP,Marco Rubio,17,12,5
Llano,101,President,,REP,Rand Paul,0,0,0
Llano,101,President,,REP,Carly Fiorina,0,0,0
Llano,101,President,,REP,Elizabeth Gray,0,0,0
Llano,101,President,,REP,Uncommitted,1,1,0
Llano,101,President,,DEM,Hillary Clinton,6,3,3
Llano,101,President,,DEM,Over Votes,0,0,0
Llano,101,President,,DEM,Under Votes,0,0,0
Llano,101,President,,DEM,Bernie Sanders,5,1,4
Llano,101,President,,DEM,Keith Judd,0,0,0
Llano,101,President,,DEM,Calvis L. Hawes,0,0,0
Llano,101,President,,DEM,Martin J. O'Malley,0,0,0
Llano,101,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Llano,101,President,,DEM,Star Locke,0,0,0
Llano,101,President,,DEM,Willie L. Wilson,0,0,0
Llano,101,U.S. House,11,REP,Mike Conaway,92,61,31
Llano,101,U.S. House,11,REP,Over Votes,0,0,0
Llano,101,U.S. House,11,REP,Under Votes,33,18,15
Llano,101,Railroad Commissioner,,REP,Gary Gates,32,22,10
Llano,101,Railroad Commissioner,,REP,Over Votes,0,0,0
Llano,101,Railroad Commissioner,,REP,Under Votes,36,18,18
Llano,101,Railroad Commissioner,,REP,Doug Jeffrey,9,7,2
Llano,101,Railroad Commissioner,,REP,Ron Hale,19,10,9
Llano,101,Railroad Commissioner,,REP,Weston Martinez,4,4,0
Llano,101,Railroad Commissioner,,REP,Wayne Christian,20,15,5
Llano,101,Railroad Commissioner,,REP,Lance N. Christian,3,1,2
Llano,101,Railroad Commissioner,,REP,John Greytok,2,2,0
Llano,101,Railroad Commissioner,,DEM,Cody Garrett,2,2,0
Llano,101,Railroad Commissioner,,DEM,Over Votes,0,0,0
Llano,101,Railroad Commissioner,,DEM,Under Votes,4,0,4
Llano,101,Railroad Commissioner,,DEM,Lon Burnam,4,1,3
Llano,101,Railroad Commissioner,,DEM,Grady Yarbrough,1,1,0
Llano,101,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,57,36,21
Llano,101,"Justice, Supreme Court, Place 3",,REP,Over Votes,0,0,0
Llano,101,"Justice, Supreme Court, Place 3",,REP,Under Votes,27,14,13
Llano,101,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,41,29,12
Llano,101,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,9,4,5
Llano,101,"Justice, Supreme Court, Place 3",,DEM,Over Votes,0,0,0
Llano,101,"Justice, Supreme Court, Place 3",,DEM,Under Votes,2,0,2
Llano,101,"Justice, Supreme Court, Place 5",,REP,Rick Green,58,38,20
Llano,101,"Justice, Supreme Court, Place 5",,REP,Over Votes,0,0,0
Llano,101,"Justice, Supreme Court, Place 5",,REP,Under Votes,38,23,15
Llano,101,"Justice, Supreme Court, Place 5",,REP,Paul Green,29,18,11
Llano,101,"Justice, Supreme Court, Place 5",,DEM,Dori Contreras Garza,8,4,4
