county,precinct,office,district,party,candidate,early_voting_mail,early_voting_ivo,election_day_ivo,votes
Rusk,111,Registered Voters,,,,,,,942.0
Rusk,111,Ballots Cast,,,,,,,646.0
Rusk,112,Registered Voters,,,,,,,2181.0
Rusk,112,Ballots Cast,,,,,,,1204.0
Rusk,113,Registered Voters,,,,,,,3096.0
Rusk,113,Ballots Cast,,,,,,,1929.0
Rusk,114,Registered Voters,,,,,,,1552.0
Rusk,114,Ballots Cast,,,,,,,955.0
Rusk,201,Registered Voters,,,,,,,958.0
Rusk,201,Ballots Cast,,,,,,,586.0
Rusk,212,Registered Voters,,,,,,,849.0
Rusk,212,Ballots Cast,,,,,,,563.0
Rusk,213,Registered Voters,,,,,,,1996.0
Rusk,213,Ballots Cast,,,,,,,1261.0
Rusk,214,Registered Voters,,,,,,,2370.0
Rusk,214,Ballots Cast,,,,,,,1610.0
Rusk,215,Registered Voters,,,,,,,2260.0
Rusk,215,Ballots Cast,,,,,,,1381.0
Rusk,302,Registered Voters,,,,,,,1218.0
Rusk,302,Ballots Cast,,,,,,,645.0
Rusk,303,Registered Voters,,,,,,,1860.0
Rusk,303,Ballots Cast,,,,,,,867.0
Rusk,314,Registered Voters,,,,,,,979.0
Rusk,314,Ballots Cast,,,,,,,701.0
Rusk,315,Registered Voters,,,,,,,817.0
Rusk,315,Ballots Cast,,,,,,,562.0
Rusk,316,Registered Voters,,,,,,,447.0
Rusk,316,Ballots Cast,,,,,,,299.0
Rusk,317,Registered Voters,,,,,,,751.0
Rusk,317,Ballots Cast,,,,,,,402.0
Rusk,318,Registered Voters,,,,,,,1162.0
Rusk,318,Ballots Cast,,,,,,,744.0
Rusk,319,Registered Voters,,,,,,,379.0
Rusk,319,Ballots Cast,,,,,,,239.0
Rusk,404,Registered Voters,,,,,,,1592.0
Rusk,404,Ballots Cast,,,,,,,1127.0
Rusk,405,Registered Voters,,,,,,,1269.0
Rusk,405,Ballots Cast,,,,,,,836.0
Rusk,416,Registered Voters,,,,,,,941.0
Rusk,416,Ballots Cast,,,,,,,544.0
Rusk,417,Registered Voters,,,,,,,1549.0
Rusk,417,Ballots Cast,,,,,,,847.0
Rusk,418,Registered Voters,,,,,,,2171.0
Rusk,418,Ballots Cast,,,,,,,1314.0
Rusk,Total:,Registered Voters,,,,,,,31339.0
Rusk,Total:,Ballots Cast,,,,,,,19262.0
Rusk,111,Straight Party,,,Republican Party,28.0,225.0,65.0,318.0
Rusk,111,Straight Party,,,Democratic Party,3.0,40.0,16.0,59.0
Rusk,111,Straight Party,,,Libertarian Party,0.0,2.0,0.0,2.0
Rusk,111,Straight Party,,,Green Party,0.0,0.0,0.0,0.0
Rusk,112,Straight Party,,,Republican Party,43.0,390.0,194.0,627.0
Rusk,112,Straight Party,,,Democratic Party,12.0,78.0,33.0,123.0
Rusk,112,Straight Party,,,Libertarian Party,0.0,2.0,0.0,2.0
Rusk,112,Straight Party,,,Green Party,0.0,1.0,0.0,1.0
Rusk,113,Straight Party,,,Republican Party,79.0,727.0,229.0,1035.0
Rusk,113,Straight Party,,,Democratic Party,17.0,154.0,63.0,234.0
Rusk,113,Straight Party,,,Libertarian Party,1.0,1.0,5.0,7.0
Rusk,113,Straight Party,,,Green Party,0.0,0.0,3.0,3.0
Rusk,114,Straight Party,,,Republican Party,23.0,277.0,198.0,498.0
Rusk,114,Straight Party,,,Democratic Party,9.0,71.0,44.0,124.0
Rusk,114,Straight Party,,,Libertarian Party,0.0,1.0,2.0,3.0
Rusk,114,Straight Party,,,Green Party,0.0,0.0,1.0,1.0
Rusk,201,Straight Party,,,Republican Party,34.0,183.0,37.0,254.0
Rusk,201,Straight Party,,,Democratic Party,8.0,41.0,20.0,69.0
Rusk,201,Straight Party,,,Libertarian Party,1.0,1.0,1.0,3.0
Rusk,201,Straight Party,,,Green Party,0.0,0.0,0.0,0.0
Rusk,212,Straight Party,,,Republican Party,22.0,215.0,40.0,277.0
Rusk,212,Straight Party,,,Democratic Party,12.0,29.0,12.0,53.0
Rusk,212,Straight Party,,,Libertarian Party,0.0,0.0,2.0,2.0
Rusk,212,Straight Party,,,Green Party,0.0,0.0,0.0,0.0
