county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,President/VicePresident,,Jeb Bush,False,REP,67,0.79
ANDERSON,President/VicePresident,,Ben Carson,False,REP,376,4.42
ANDERSON,President/VicePresident,,Chris Christie,False,REP,3,0.04
ANDERSON,President/VicePresident,,Ted Cruz,False,REP,4550,53.49
ANDERSON,President/VicePresident,,Carly Fiorina,False,REP,5,0.06
ANDERSON,President/VicePresident,,Lindsey Graham,False,REP,3,0.04
ANDERSON,President/VicePresident,,Elizabeth Gray,False,REP,2,0.02
ANDERSON,President/VicePresident,,Mike Huckabee,False,REP,17,0.20
ANDERSON,President/VicePresident,,John R. Kasich,False,REP,148,1.74
ANDERSON,President/VicePresident,,Rand Paul,False,REP,9,0.11
ANDERSON,President/VicePresident,,Marco Rubio,False,REP,805,9.46
ANDERSON,President/VicePresident,,Rick Santorum,False,REP,3,0.04
ANDERSON,President/VicePresident,,Donald J. Trump,False,REP,2437,28.65
ANDERSON,President/VicePresident,,Uncommitted,False,REP,81,0.95
ANDERSON,President/VicePresident,,Total,,,8506,
ANDERSON,U. S. Representative,5,Jeb Hensarling,True,REP,7060,100.00
ANDERSON,U. S. Representative,5,Total,,,7060,
ANDERSON,Railroad Commissioner,,Lance N. Christian,False,REP,858,13.11
ANDERSON,Railroad Commissioner,,Wayne Christian,False,REP,1385,21.17
ANDERSON,Railroad Commissioner,,Gary Gates,False,REP,1553,23.74
ANDERSON,Railroad Commissioner,,John Greytok,False,REP,721,11.02
ANDERSON,Railroad Commissioner,,Ron Hale,False,REP,933,14.26
ANDERSON,Railroad Commissioner,,Doug Jeffrey,False,REP,611,9.34
ANDERSON,Railroad Commissioner,,Weston Martinez,False,REP,482,7.37
ANDERSON,Railroad Commissioner,,Total,,,6543,
ANDERSON,"Justice, Supreme Court, Place 3",,Debra Lehrmann,True,REP,3397,49.12
ANDERSON,"Justice, Supreme Court, Place 3",,Michael Massengale,False,REP,3519,50.88
ANDERSON,"Justice, Supreme Court, Place 3",,Total,,,6916,
ANDERSON,"Justice, Supreme Court, Place 5",,Paul Green,True,REP,2620,39.97
ANDERSON,"Justice, Supreme Court, Place 5",,Rick Green,False,REP,3935,60.03
ANDERSON,"Justice, Supreme Court, Place 5",,Total,,,6555,
ANDERSON,"Justice, Supreme Court, Place 9",,Eva Guzman,True,REP,3070,45.19
ANDERSON,"Justice, Supreme Court, Place 9",,Joe Pool,False,REP,3723,54.81
ANDERSON,"Justice, Supreme Court, Place 9",,Total,,,6793,
ANDERSON,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,2477,38.51
ANDERSON,Judge Court of Criminal Appeals,2,Chris Oldner,False,REP,1360,21.14
ANDERSON,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,2595,40.35
ANDERSON,Judge Court of Criminal Appeals,2,Total,,,6432,
ANDERSON,Judge Court of Criminal Appeals,5,Sid Harle,False,REP,896,13.61
ANDERSON,Judge Court of Criminal Appeals,5,Steve Smith,False,REP,1182,17.96
ANDERSON,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,3142,47.74
ANDERSON,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,1361,20.68
ANDERSON,Judge Court of Criminal Appeals,5,Total,,,6581,
ANDERSON,Judge Court of Criminal Appeals,6,Richard Davis,False,REP,2654,42.59
ANDERSON,Judge Court of Criminal Appeals,6,Michael E. Keasler,True,REP,3577,57.41
ANDERSON,Judge Court of Criminal Appeals,6,Total,,,6231,
ANDERSON,Member State Board of Education,9,Mary Lou Bruner,False,REP,3251,50.58
ANDERSON,Member State Board of Education,9,Keven M. Ellis,False,REP,1689,26.28
ANDERSON,Member State Board of Education,9,Hank Hering,False,REP,1487,23.14
ANDERSON,Member State Board of Education,9,Total,,,6427,
ANDERSON,State Representative,8,Byron Cook,True,REP,4374,53.61
ANDERSON,State Representative,8,Thomas McNutt,False,REP,3785,46.39
ANDERSON,State Representative,8,Total,,,8159,
ANDERSON,"Justice, 12th Court of Appeals District, Place 2",,Brian Hoyle,True,REP,5942,100.00
ANDERSON,"Justice, 12th Court of Appeals District, Place 2",,Total,,,5942,
ANDERSON,"Justice, 12th Court of Appeals District, Place 3 Unexpired Term",,Greg Neeley,True,REP,6253,100.00
ANDERSON,"Justice, 12th Court of Appeals District, Place 3 Unexpired Term",,Total,,,6253,
ANDERSON,District Judge,3rd Judicial District,Mark A. Calhoon,True,REP,6804,100.00
ANDERSON,District Judge,3rd Judicial District,Total,,,6804,
