county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,Railroad Commissioner,,Wayne Christian,False,REP,225,57.25
ANDERSON,Railroad Commissioner,,Gary Gates,False,REP,168,42.75
ANDERSON,Railroad Commissioner,,Total,,,393,
ANDERSON,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,169,44.01
ANDERSON,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,215,55.99
ANDERSON,Judge Court of Criminal Appeals,2,Total,,,384,
ANDERSON,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,181,48.66
ANDERSON,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,191,51.34
ANDERSON,Judge Court of Criminal Appeals,5,Total,,,372,
ANDERSON,Member State Board of Education,9,Mary Lou Bruner,False,REP,239,59.01
ANDERSON,Member State Board of Education,9,Keven M. Ellis,False,REP,166,40.99
ANDERSON,Member State Board of Education,9,Total,,,405,
ANDREWS,Railroad Commissioner,,Wayne Christian,False,REP,546,42.99
ANDREWS,Railroad Commissioner,,Gary Gates,False,REP,724,57.01
ANDREWS,Railroad Commissioner,,Total,,,1270,
ANDREWS,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,595,48.49
ANDREWS,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,632,51.51
ANDREWS,Judge Court of Criminal Appeals,2,Total,,,1227,
ANDREWS,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,980,79.42
ANDREWS,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,254,20.58
ANDREWS,Judge Court of Criminal Appeals,5,Total,,,1234,
ANGELINA,Railroad Commissioner,,Wayne Christian,False,REP,1939,75.83
ANGELINA,Railroad Commissioner,,Gary Gates,False,REP,618,24.17
ANGELINA,Railroad Commissioner,,Total,,,2557,
ANGELINA,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,1171,53.57
ANGELINA,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,1015,46.43
ANGELINA,Judge Court of Criminal Appeals,2,Total,,,2186,
ANGELINA,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,1638,73.88
ANGELINA,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,579,26.12
ANGELINA,Judge Court of Criminal Appeals,5,Total,,,2217,
ANGELINA,Member State Board of Education,9,Mary Lou Bruner,False,REP,334,11.86
ANGELINA,Member State Board of Education,9,Keven M. Ellis,False,REP,2483,88.14
ANGELINA,Member State Board of Education,9,Total,,,2817,
ARANSAS,Railroad Commissioner,,Wayne Christian,False,REP,102,37.50
ARANSAS,Railroad Commissioner,,Gary Gates,False,REP,170,62.50
ARANSAS,Railroad Commissioner,,Total,,,272,
ARANSAS,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,171,66.02
ARANSAS,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,88,33.98
ARANSAS,Judge Court of Criminal Appeals,2,Total,,,259,
ARANSAS,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,147,59.51
ARANSAS,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,100,40.49
ARANSAS,Judge Court of Criminal Appeals,5,Total,,,247,
ARCHER,Railroad Commissioner,,Wayne Christian,False,REP,236,57.42
ARCHER,Railroad Commissioner,,Gary Gates,False,REP,175,42.58
ARCHER,Railroad Commissioner,,Total,,,411,
ARCHER,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,196,48.40
ARCHER,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,209,51.60
ARCHER,Judge Court of Criminal Appeals,2,Total,,,405,
ARCHER,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,237,60.15
ARCHER,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,157,39.85
ARCHER,Judge Court of Criminal Appeals,5,Total,,,394,
ARCHER,"Justice, 2nd Court of Appeals District, Place 3",,Dabney Bassel,False,REP,111,27.41
ARCHER,"Justice, 2nd Court of Appeals District, Place 3",,Elizabeth Kerr,False,REP,294,72.59
ARCHER,"Justice, 2nd Court of Appeals District, Place 3",,Total,,,405,
ARMSTRONG,Railroad Commissioner,,Wayne Christian,False,REP,39,58.21
ARMSTRONG,Railroad Commissioner,,Gary Gates,False,REP,28,41.79
ARMSTRONG,Railroad Commissioner,,Total,,,67,
ARMSTRONG,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,41,49.40
ARMSTRONG,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,42,50.60
ARMSTRONG,Judge Court of Criminal Appeals,2,Total,,,83,
ARMSTRONG,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,48,72.73
ARMSTRONG,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,18,27.27
ARMSTRONG,Judge Court of Criminal Appeals,5,Total,,,66,
ATASCOSA,Railroad Commissioner,,Wayne Christian,False,REP,59,40.97
ATASCOSA,Railroad Commissioner,,Gary Gates,False,REP,85,59.03
ATASCOSA,Railroad Commissioner,,Total,,,144,
ATASCOSA,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,92,65.25
ATASCOSA,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,49,34.75
ATASCOSA,Judge Court of Criminal Appeals,2,Total,,,141,
ATASCOSA,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,101,70.63
ATASCOSA,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,42,29.37
ATASCOSA,Judge Court of Criminal Appeals,5,Total,,,143,
AUSTIN,Railroad Commissioner,,Wayne Christian,False,REP,353,36.32
AUSTIN,Railroad Commissioner,,Gary Gates,False,REP,619,63.68
AUSTIN,Railroad Commissioner,,Total,,,972,
AUSTIN,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,574,64.86
AUSTIN,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,311,35.14
AUSTIN,Judge Court of Criminal Appeals,2,Total,,,885,
AUSTIN,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,575,66.78
AUSTIN,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,286,33.22
AUSTIN,Judge Court of Criminal Appeals,5,Total,,,861,
BAILEY,U. S. Representative,19,Jodey Arrington,False,REP,171,58.97
BAILEY,U. S. Representative,19,Glen Robertson,False,REP,119,41.03
BAILEY,U. S. Representative,19,Total,,,290,
BAILEY,Railroad Commissioner,,Wayne Christian,False,REP,180,70.04
BAILEY,Railroad Commissioner,,Gary Gates,False,REP,77,29.96
BAILEY,Railroad Commissioner,,Total,,,257,
BAILEY,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,121,49.59
BAILEY,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,123,50.41
BAILEY,Judge Court of Criminal Appeals,2,Total,,,244,
BAILEY,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,166,69.17
BAILEY,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,74,30.83
BAILEY,Judge Court of Criminal Appeals,5,Total,,,240,
BANDERA,Railroad Commissioner,,Wayne Christian,False,REP,360,46.04
BANDERA,Railroad Commissioner,,Gary Gates,False,REP,422,53.96
BANDERA,Railroad Commissioner,,Total,,,782,
BANDERA,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,432,57.22
BANDERA,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,323,42.78
BANDERA,Judge Court of Criminal Appeals,2,Total,,,755,
BANDERA,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,453,62.05
BANDERA,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,277,37.95
BANDERA,Judge Court of Criminal Appeals,5,Total,,,730,
BANDERA,State Senator,24,Dawn  Buckingham,False,REP,521,63.93
BANDERA,State Senator,24,Susan King,False,REP,294,36.07
BANDERA,State Senator,24,Total,,,815,
BASTROP,Railroad Commissioner,,Wayne Christian,False,REP,1258,42.77
BASTROP,Railroad Commissioner,,Gary Gates,False,REP,1683,57.23
BASTROP,Railroad Commissioner,,Total,,,2941,
BASTROP,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,1615,56.99
BASTROP,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,1219,43.01
BASTROP,Judge Court of Criminal Appeals,2,Total,,,2834,
BASTROP,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,1767,63.84
BASTROP,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,1001,36.16
BASTROP,Judge Court of Criminal Appeals,5,Total,,,2768,
BAYLOR,Railroad Commissioner,,Wayne Christian,False,REP,7,50.00
BAYLOR,Railroad Commissioner,,Gary Gates,False,REP,7,50.00
BAYLOR,Railroad Commissioner,,Total,,,14,
BAYLOR,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,10,71.43
BAYLOR,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,4,28.57
BAYLOR,Judge Court of Criminal Appeals,2,Total,,,14,
BAYLOR,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,6,40.00
BAYLOR,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,9,60.00
BAYLOR,Judge Court of Criminal Appeals,5,Total,,,15,
BEE,Railroad Commissioner,,Wayne Christian,False,REP,64,54.24
BEE,Railroad Commissioner,,Gary Gates,False,REP,54,45.76
BEE,Railroad Commissioner,,Total,,,118,
BEE,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,83,75.45
BEE,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,27,24.55
BEE,Judge Court of Criminal Appeals,2,Total,,,110,
BEE,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,86,76.79
BEE,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,26,23.21
BEE,Judge Court of Criminal Appeals,5,Total,,,112,
BELL,Railroad Commissioner,,Wayne Christian,False,REP,4138,55.05
BELL,Railroad Commissioner,,Gary Gates,False,REP,3379,44.95
BELL,Railroad Commissioner,,Total,,,7517,
BELL,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,3985,55.89
BELL,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,3145,44.11
BELL,Judge Court of Criminal Appeals,2,Total,,,7130,
BELL,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,4723,66.25
BELL,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,2406,33.75
BELL,Judge Court of Criminal Appeals,5,Total,,,7129,
BELL,State Senator,24,Dawn  Buckingham,False,REP,5753,67.75
BELL,State Senator,24,Susan King,False,REP,2739,32.25
BELL,State Senator,24,Total,,,8492,
BELL,State Representative,54,Scott Cosper,False,REP,1848,47.64
BELL,State Representative,54,Austin Ruiz,False,REP,2031,52.36
BELL,State Representative,54,Total,,,3879,
BEXAR,Railroad Commissioner,,Wayne Christian,False,REP,3569,37.52
BEXAR,Railroad Commissioner,,Gary Gates,False,REP,5944,62.48
BEXAR,Railroad Commissioner,,Total,,,9513,
BEXAR,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,5497,59.91
BEXAR,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,3678,40.09
BEXAR,Judge Court of Criminal Appeals,2,Total,,,9175,
BEXAR,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,5262,58.29
BEXAR,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,3766,41.71
BEXAR,Judge Court of Criminal Appeals,5,Total,,,9028,
BLANCO,Railroad Commissioner,,Wayne Christian,False,REP,256,46.72
BLANCO,Railroad Commissioner,,Gary Gates,False,REP,292,53.28
BLANCO,Railroad Commissioner,,Total,,,548,
BLANCO,Judge Court of Criminal Appeals,2,Mary Lou Keel,False,REP,280,54.58
BLANCO,Judge Court of Criminal Appeals,2,Ray Wheless,False,REP,233,45.42
BLANCO,Judge Court of Criminal Appeals,2,Total,,,513,
BLANCO,Judge Court of Criminal Appeals,5,Scott Walker,False,REP,272,54.29
BLANCO,Judge Court of Criminal Appeals,5,Brent Webster,False,REP,229,45.71
BLANCO,Judge Court of Criminal Appeals,5,Total,,,501,
BLANCO,State Senator,24,Dawn  Buckingham,False,REP,378,63.21
BLANCO,State Senator,24,Susan King,False,REP,220,36.79
BLANCO,State Senator,24,Total,,,598,
