county,precinct,office,district,candidate,party,early_voting,election day,votes
Kerr,101,Ballots Cast,,,,,,1241
Kerr,101,Straight Party,,,REP,458,221,679
Kerr,101,Straight Party,,,DEM,49,29,78
Kerr,101,Straight Party,,,LIB,1,3,4
Kerr,101,Straight Party,,,GRN,0,0,0
Kerr,101,Straight Party,,Over Votes,,0,0,0
Kerr,101,Straight Party,,Under Votes,,301,177,478
Kerr,101,U.S. Senate,,John Cornyn,,681,330,1011
Kerr,101,U.S. Senate,,David M. Alameel,,95,67,162
Kerr,101,U.S. Senate,,Rebecca Paddock,,19,26,45
Kerr,101,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,2,4,6
Kerr,101,U.S. Senate,,Mohammed Tahiro (W),,0,0,0
Kerr,101,U.S. Senate,,Over Votes,,0,0,0
Kerr,101,U.S. Senate,,Under Votes,,13,4,17
Kerr,101,U.S. House,21,Lamar Smith,,668,340,1008
Kerr,101,U.S. House,21,Ryan Shields,,55,42,97
Kerr,101,U.S. House,21,Antonio Diaz,,29,20,49
Kerr,101,U.S. House,21,Over Votes,,0,0,0
Kerr,101,U.S. House,21,Under Votes,,58,29,87
Kerr,101,Governor,,Greg Abbott,,682,333,1015
Kerr,101,Governor,,Wendy R. Davis,,119,82,201
Kerr,101,Governor,,Kathie Glass,,6,10,16
Kerr,101,Governor,,Brandon Parmer,,1,5,6
Kerr,101,Governor,,Sarah M. Pavitt (W),,0,0,0
Kerr,101,Governor,,Over Votes,,0,0,0
Kerr,101,Governor,,Under Votes,,2,1,3
Kerr,101,Ballots Cast,,,,,,1241
Kerr,101,Lieutenant Governor,,Dan Patrick,,666,324,990
Kerr,101,Lieutenant Governor,,Leticia Van de Putte,,126,84,210
Kerr,101,Lieutenant Governor,,Robert D. Butler,,13,21,34
Kerr,101,Lieutenant Governor,,Chandrakantha Courtney,,1,1,2
Kerr,101,Lieutenant Governor,,Over Votes,,0,0,0
Kerr,101,Lieutenant Governor,,Under Votes,,4,1,5
Kerr,101,Attorney General,,Ken Paxton,,667,323,990
Kerr,101,Attorney General,,Sam Houston,,115,81,196
Kerr,101,Attorney General,,Jamie Balagia,,14,19,33
Kerr,101,Attorney General,,Jamar Osborne,,2,4,6
Kerr,101,Attorney General,,Over Votes,,0,0,0
Kerr,101,Attorney General,,Under Votes,,12,4,16
Kerr,101,Comptroller of Public Accounts,,Glenn Hegar,,657,318,975
Kerr,101,Comptroller of Public Accounts,,Mike Collier,,111,78,189
Kerr,101,Comptroller of Public Accounts,,Ben Sanders,,21,29,50
Kerr,101,Comptroller of Public Accounts,,Deb Shafto,,8,2,10
Kerr,101,Comptroller of Public Accounts,,Over Votes,,0,0,0
Kerr,101,Comptroller of Public Accounts,,Under Votes,,13,4,17
Kerr,101,Commissioner of the General Land Office,,George P. Bush,,666,319,985
Kerr,101,Commissioner of the General Land Office,,John Cook,,95,70,165
Kerr,101,Commissioner of the General Land Office,,Justin Knight,,28,27,55
Kerr,101,Commissioner of the General Land Office,,Valerie Alessi,,7,9,16
Kerr,101,Commissioner of the General Land Office,,Over Votes,,0,0,0
Kerr,101,Commissioner of the General Land Office,,Under Votes,,14,6,20
Kerr,101,Commissioner of Agriculture,,Sid Miller,,650,313,963
Kerr,101,Commissioner of Agriculture,,Jim Hogan,,103,78,181
Kerr,101,Commissioner of Agriculture,,David (Rocky) Palmquist,,26,25,51
Kerr,101,Commissioner of Agriculture,,Kenneth Kendrick,,12,11,23
Kerr,101,Commissioner of Agriculture,,Over Votes,,0,0,0
Kerr,101,Commissioner of Agriculture,,Under Votes,,19,4,23
Kerr,101,Ballots Cast,,,,,,1241
Kerr,101,Railroad Commissioner,,Ryan Sitton,,649,319,968
Kerr,101,Railroad Commissioner,,Steve Brown,,105,73,178
Kerr,101,Railroad Commissioner,,Mark A. Miller,,31,27,58
Kerr,101,Railroad Commissioner,,Martina Salinas,,7,8,15
Kerr,101,Railroad Commissioner,,Over Votes,,0,0,0
Kerr,101,Railroad Commissioner,,Under Votes,,18,4,22
Kerr,101,Ballots Cast,,,,,,1241
Kerr,101,State Representative,53,Andrew S. Murr,,688,344,1032
Kerr,101,State Representative,53,Maximilian Martin,,52,58,110
Kerr,101,State Representative,53,Over Votes,,0,0,0
Kerr,101,State Representative,53,Under Votes,,40,29,99
Kerr,107,Ballots Cast,,,,,,419
Kerr,107,Straight Party,,,REP,129,90,219
Kerr,107,Straight Party,,,DEM,8,13,21
Kerr,107,Straight Party,,,LIB,3,1,4
Kerr,107,Straight Party,,,GRN,0,0,0
Kerr,107,Straight Party,,Over Votes,,0,0,0
Kerr,107,Straight Party,,Under Votes,,101,74,175
Kerr,107,U.S. Senate,,John Cornyn,,198,141,339
Kerr,107,U.S. Senate,,David M. Alameel,,27,23,50
Kerr,107,U.S. Senate,,Rebecca Paddock,,12,10,22
Kerr,107,U.S. Senate,,"Emily ""Spicybrown"" Sanchez",,0,1,1
Kerr,107,U.S. Senate,,Mohammed Tahiro (W),,0,0,0
Kerr,107,U.S. Senate,,Over Votes,,0,0,0
Kerr,107,U.S. Senate,,Under Votes,,4,3,7
Kerr,107,U.S. House,21,Lamar Smith,,198,134,332
Kerr,107,U.S. House,21,Ryan Shields,,23,18,41
Kerr,107,U.S. House,21,Antonio Diaz,,8,9,17
Kerr,107,U.S. House,21,Over Votes,,0,0,0
Kerr,107,U.S. House,21,Under Votes,,12,17,29
Kerr,107,Governor,,Greg Abbott,,200,139,339
Kerr,107,Governor,,Wendy R. Davis,,34,30,64
Kerr,107,Governor,,Kathie Glass,,5,4,9
Kerr,107,Governor,,Brandon Parmer,,0,2,2
Kerr,107,Governor,,Sarah M. Pavitt (W),,0,0,0
Kerr,107,Governor,,Over Votes,,0,0,0
Kerr,107,Governor,,Under Votes,,2,3,5
Kerr,107,Ballots Cast,,,,,,419
Kerr,107,Lieutenant Governor,,Dan Patrick,,196,132,328
