county,precinct,office,district,party,candidate,early_voting_mail,early_voting_ivo,early_voting,election_day,votes
Rusk,111,Registered Voters,,,,,,,,942
Rusk,111,Ballots Cast,,,,,,,,646
Rusk,112,Registered Voters,,,,,,,,2181
Rusk,112,Ballots Cast,,,,,,,,1204
Rusk,113,Registered Voters,,,,,,,,3096
Rusk,113,Ballots Cast,,,,,,,,1929
Rusk,114,Registered Voters,,,,,,,,1552
Rusk,114,Ballots Cast,,,,,,,,955
Rusk,201,Registered Voters,,,,,,,,958
Rusk,201,Ballots Cast,,,,,,,,586
Rusk,212,Registered Voters,,,,,,,,849
Rusk,212,Ballots Cast,,,,,,,,563
Rusk,213,Registered Voters,,,,,,,,1996
Rusk,213,Ballots Cast,,,,,,,,1261
Rusk,214,Registered Voters,,,,,,,,2370
Rusk,214,Ballots Cast,,,,,,,,1610
Rusk,215,Registered Voters,,,,,,,,2260
Rusk,215,Ballots Cast,,,,,,,,1381
Rusk,302,Registered Voters,,,,,,,,1218
Rusk,302,Ballots Cast,,,,,,,,645
Rusk,303,Registered Voters,,,,,,,,1860
Rusk,303,Ballots Cast,,,,,,,,867
Rusk,314,Registered Voters,,,,,,,,979
Rusk,314,Ballots Cast,,,,,,,,701
Rusk,315,Registered Voters,,,,,,,,817
Rusk,315,Ballots Cast,,,,,,,,562
Rusk,316,Registered Voters,,,,,,,,447
Rusk,316,Ballots Cast,,,,,,,,299
Rusk,317,Registered Voters,,,,,,,,751
Rusk,317,Ballots Cast,,,,,,,,402
Rusk,318,Registered Voters,,,,,,,,1162
Rusk,318,Ballots Cast,,,,,,,,744
Rusk,319,Registered Voters,,,,,,,,379
Rusk,319,Ballots Cast,,,,,,,,239
Rusk,404,Registered Voters,,,,,,,,1592
Rusk,404,Ballots Cast,,,,,,,,1127
Rusk,405,Registered Voters,,,,,,,,1269
Rusk,405,Ballots Cast,,,,,,,,836
Rusk,416,Registered Voters,,,,,,,,941
Rusk,416,Ballots Cast,,,,,,,,544
Rusk,417,Registered Voters,,,,,,,,1549
Rusk,417,Ballots Cast,,,,,,,,847
Rusk,418,Registered Voters,,,,,,,,2171
Rusk,418,Ballots Cast,,,,,,,,1314
Rusk,Total:,Registered Voters,,,,,,,,31339
Rusk,Total:,Ballots Cast,,,,,,,,19262
Rusk,111,Straight Party,,,Republican Party,28,225,253,65,318
Rusk,111,Straight Party,,,Democratic Party,3,40,43,16,59
Rusk,111,Straight Party,,,Libertarian Party,0,2,2,0,2
Rusk,111,Straight Party,,,Green Party,0,0,0,0,0
Rusk,112,Straight Party,,,Republican Party,43,390,433,194,627
Rusk,112,Straight Party,,,Democratic Party,12,78,90,33,123
Rusk,112,Straight Party,,,Libertarian Party,0,2,2,0,2
Rusk,112,Straight Party,,,Green Party,0,1,1,0,1
Rusk,113,Straight Party,,,Republican Party,79,727,806,229,1035
Rusk,113,Straight Party,,,Democratic Party,17,154,171,63,234
Rusk,113,Straight Party,,,Libertarian Party,1,1,2,5,7
Rusk,113,Straight Party,,,Green Party,0,0,0,3,3
Rusk,114,Straight Party,,,Republican Party,23,277,300,198,498
Rusk,114,Straight Party,,,Democratic Party,9,71,80,44,124
Rusk,114,Straight Party,,,Libertarian Party,0,1,1,2,3
Rusk,114,Straight Party,,,Green Party,0,0,0,1,1
Rusk,201,Straight Party,,,Republican Party,34,183,217,37,254
Rusk,201,Straight Party,,,Democratic Party,8,41,49,20,69
Rusk,201,Straight Party,,,Libertarian Party,1,1,2,1,3
Rusk,201,Straight Party,,,Green Party,0,0,0,0,0
Rusk,212,Straight Party,,,Republican Party,22,215,237,40,277
Rusk,212,Straight Party,,,Democratic Party,12,29,41,12,53
Rusk,212,Straight Party,,,Libertarian Party,0,0,0,2,2
Rusk,212,Straight Party,,,Green Party,0,0,0,0,0
Rusk,213,Straight Party,,,Republican Party,58,442,500,207,707
Rusk,213,Straight Party,,,Democratic Party,7,93,100,50,150
Rusk,213,Straight Party,,,Libertarian Party,0,3,3,4,7
