county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,President/VicePresident,,Joe Biden,FALSE,DEM,11,0.21
ANDERSON,President/VicePresident,,Hillary Clinton,FALSE,DEM,2975,56.08
ANDERSON,President/VicePresident,,Christopher J. Dodd,FALSE,DEM,9,0.17
ANDERSON,President/VicePresident,,John Edwards,FALSE,DEM,87,1.64
ANDERSON,President/VicePresident,,Barack Obama,FALSE,DEM,2182,41.13
ANDERSON,President/VicePresident,,Bill Richardson,FALSE,DEM,41,0.77
ANDERSON,President/VicePresident,,Total,,,5305,
ANDERSON,U.S. Senate,,Gene Kelly,FALSE,DEM,1205,28.35
ANDERSON,U.S. Senate,,Ray McMurrey,FALSE,DEM,772,18.16
ANDERSON,U.S. Senate,,Richard J. (Rick) Noriega,FALSE,DEM,1879,44.2
ANDERSON,U.S. Senate,,Rhett R. Smith,FALSE,DEM,395,9.29
ANDERSON,U.S. Senate,,Total,,,4251,
ANDERSON,Railroad Commissioner,,Art Hall,FALSE,DEM,471,11.76
ANDERSON,Railroad Commissioner,,Dale Henry,FALSE,DEM,1059,26.44
ANDERSON,Railroad Commissioner,,Mark Thompson,FALSE,DEM,2475,61.8
ANDERSON,Railroad Commissioner,,Total,,,4005,
ANDERSON,"Chief Justice, Supreme Court",,Jim Jordan,FALSE,DEM,3539,100
ANDERSON,"Chief Justice, Supreme Court",,Total,,,3539,
ANDERSON,Justice Supreme Court,7,Baltasar D. Cruz,FALSE,DEM,1193,29.18
ANDERSON,Justice Supreme Court,7,Sam Houston,FALSE,DEM,2896,70.82
ANDERSON,Justice Supreme Court,7,Total,,,4089,
ANDERSON,Justice Supreme Court,8,Susan Criss,FALSE,DEM,2904,72.73
ANDERSON,Justice Supreme Court,8,Linda Reyna Ya̱ez,FALSE,DEM,1089,27.27
ANDERSON,Justice Supreme Court,8,Total,,,3993,
ANDERSON,Judge Court of Criminal Appeals,3,Susan Strawn,FALSE,DEM,3448,100
ANDERSON,Judge Court of Criminal Appeals,3,Total,,,3448,
ANDERSON,Judge Court of Criminal Appeals,4,J.R. Molina,FALSE,DEM,3417,100
ANDERSON,Judge Court of Criminal Appeals,4,Total,,,3417,
ANDERSON,President Senatorial,3,Joe Biden,FALSE,DEM,11,0.21
ANDERSON,President Senatorial,3,Hillary Clinton,FALSE,DEM,2975,56.08
ANDERSON,President Senatorial,3,Christopher J. Dodd,FALSE,DEM,9,0.17
ANDERSON,President Senatorial,3,John Edwards,FALSE,DEM,87,1.64
ANDERSON,President Senatorial,3,Barack Obama,FALSE,DEM,2182,41.13
ANDERSON,President Senatorial,3,Bill Richardson,FALSE,DEM,41,0.77
ANDERSON,President Senatorial,3,Total,,,5305,
ANDREWS,President/VicePresident,,Joe Biden,FALSE,DEM,10,0.8
ANDREWS,President/VicePresident,,Hillary Clinton,FALSE,DEM,674,53.79
ANDREWS,President/VicePresident,,Christopher J. Dodd,FALSE,DEM,10,0.8
ANDREWS,President/VicePresident,,John Edwards,FALSE,DEM,82,6.54
ANDREWS,President/VicePresident,,Barack Obama,FALSE,DEM,448,35.75
