county,votes,mail,absentee,early_voting,election_day,provisional,limited,other
Anderson,True,False,False,False,False,False,False,False
Andrews,True,False,True,True,True,False,False,False
Angelina,True,True,False,True,True,False,False,False
Aransas,True,False,True,True,True,False,False,False
Archer,True,True,False,True,True,False,False,False
Armstrong,True,True,False,True,True,False,False,False
Atascosa,True,False,False,True,True,True,False,True
Austin,True,False,True,True,True,False,False,False
Bailey,True,True,False,True,True,False,False,False
Bandera,True,False,False,True,True,False,False,False
Bastrop,True,True,False,True,True,False,False,False
Baylor,True,True,False,True,True,False,False,False
Bee,True,False,False,True,True,False,False,False
Bell,True,True,False,True,True,False,False,False
Bexar,True,True,False,True,True,False,False,False
Blanco,True,False,True,True,True,False,False,False
Borden,True,True,False,True,True,False,False,False
Bosque,True,True,False,True,True,True,False,False
Bowie,True,False,False,True,True,False,False,False
Brazoria,True,False,True,True,True,False,False,False
Brazos,True,False,False,True,True,False,False,False
Brewster,True,False,False,True,True,False,False,False
Briscoe,True,True,False,True,True,False,False,False
Brooks,True,False,True,True,True,False,False,False
Brown,True,False,True,True,True,False,False,False
Burleson,True,False,False,True,True,False,False,False
Burnet,True,False,False,True,True,False,False,False
Caldwell,True,False,False,False,False,False,False,False
Calhoun,True,False,False,False,False,False,False,False
Callahan,True,False,True,True,True,False,False,False
Cameron,True,False,False,False,False,False,False,False
Camp,True,True,False,True,True,False,False,False
Carson,True,False,False,False,False,False,False,False
Cass,True,False,True,True,True,False,False,False
Chambers,True,False,True,True,True,False,False,False
Cherokee,True,False,True,True,True,False,False,False
Childress,True,False,True,True,True,False,False,False
Clay,True,False,True,True,True,False,False,False
Cochran,True,False,False,False,False,False,False,False
Coke,True,False,True,True,True,False,False,False
Coleman,True,False,True,True,True,False,False,False
Collin,True,True,False,True,True,False,False,False
Collingsworth,True,False,False,True,True,False,False,False
Colorado,True,True,False,True,True,False,False,False
Comal,True,False,True,True,True,False,False,False
Comanche,True,False,False,True,True,False,False,False
Concho,True,False,True,True,True,False,False,False
Cooke,True,False,False,True,True,False,False,False
Coryell,True,False,False,True,True,False,False,False
Cottle,True,False,False,True,True,False,False,False
Crane,True,False,False,False,False,False,False,False
Culberson,True,False,False,True,True,False,False,False
Dallam,True,False,False,False,False,False,False,False
Dallas,True,True,False,True,True,True,False,True
Dawson,True,False,False,True,True,False,False,False
DeWitt,True,False,True,True,True,False,False,False
Deaf Smith,True,False,True,True,True,False,False,False
Denton,True,False,False,True,True,False,False,False
Dickens,True,False,True,True,True,False,False,False
Dimmit,True,False,False,False,False,False,False,False
Donley,True,False,False,True,True,False,False,False
Duval,True,False,False,True,True,False,False,False
Eastland,True,False,False,True,True,False,False,False
Ector,True,False,False,True,True,False,False,False
El Paso,True,True,False,True,True,False,False,True
Ellis,True,False,True,True,True,False,False,False
Erath,True,False,True,True,True,False,False,False
Falls,True,False,True,True,True,False,False,False
Fannin,True,False,True,True,True,False,False,False
Fayette,True,False,False,False,False,False,False,False
Fisher,True,False,True,True,True,False,False,False
Floyd,True,False,True,True,True,False,False,False
Fort Bend,True,False,False,True,True,False,False,False
Franklin,True,False,True,True,True,False,False,False
Frio,True,True,False,True,True,False,False,False
Gaines,True,False,False,True,True,False,False,False
Galveston,True,False,True,True,True,False,False,False
Garza,True,False,False,True,True,False,False,False
Gillespie,True,False,False,True,True,False,False,False
Glasscock,True,True,False,True,True,False,False,False
Goliad,True,False,False,False,False,False,False,False
Gonzales,True,True,False,True,True,True,False,False
Gray,True,False,False,True,True,False,False,False
Grayson,True,False,True,True,True,False,False,False
Gregg,True,False,False,True,True,False,False,False
Grimes,True,False,True,True,True,False,False,False
Guadalupe,True,False,True,True,True,False,False,False
Hale,True,False,True,True,True,False,False,False
Hall,True,True,False,True,True,False,False,False
Hardeman,True,False,False,True,True,False,False,False
Hardin,True,True,False,True,True,True,False,False
Harris,True,False,True,True,True,False,False,False
Harrison,True,False,True,True,True,False,False,False
Hartley,True,False,False,False,False,False,False,False
Haskell,True,False,False,True,True,False,False,False
Hays,True,False,True,True,True,False,False,False
Hemphill,True,False,False,False,False,False,False,False
Henderson,True,True,False,True,True,False,False,False
Hidalgo,True,False,True,True,True,False,False,False
Hill,True,True,False,True,True,False,False,True
Hockley,True,False,False,True,True,False,False,False
Hood,True,False,True,True,True,True,False,False
Hopkins,True,False,False,True,True,False,False,False
Houston,True,True,False,True,True,False,False,False
Howard,True,False,False,True,True,False,False,False
Hunt,True,False,False,True,True,False,False,False
Hutchinson,True,False,False,False,False,False,False,False
Irion,True,False,True,True,True,False,False,False
Jack,True,False,True,True,True,False,False,False
Jackson,True,False,False,False,False,False,False,False
Jasper,True,True,False,True,True,False,False,False
Jeff Davis,True,True,False,True,True,True,False,False
Jefferson,True,False,False,True,True,False,False,False
Jim Hogg,True,False,False,True,True,False,False,False
Jim Wells,True,False,True,True,True,False,False,False
Johnson,True,True,False,True,True,False,False,False
Jones,True,False,False,False,False,False,False,False
Karnes,True,False,True,True,True,False,False,False
Kaufman,True,False,True,True,True,False,False,False
Kendall,True,False,False,False,False,False,False,False
Kenedy,True,False,False,True,True,False,False,True
Kent,True,False,False,False,False,False,False,False
Kerr,True,False,True,True,True,False,False,False
Kimble,True,False,False,True,True,False,False,False
King,True,False,False,True,True,False,False,False
Kinney,True,False,False,True,True,False,False,False
Kleberg,True,True,False,True,True,True,True,False
Knox,True,False,False,True,True,False,False,False
La Salle,True,False,True,True,True,False,False,False
Lamar,True,False,False,False,False,False,False,False
Lamb,True,False,True,True,True,False,False,False
Lampasas,True,False,True,True,True,False,False,False
Lavaca,True,False,True,True,True,False,False,True
Lee,True,True,False,True,True,False,False,False
Leon,True,True,False,True,True,True,False,False
Liberty,True,False,True,True,True,False,False,False
Limestone,True,False,False,False,False,False,False,False
Lipscomb,True,False,True,True,True,False,False,False
Live Oak,True,False,False,False,False,False,False,False
Llano,True,False,True,True,True,False,False,False
Loving,True,True,False,True,True,False,False,False
Lubbock,True,False,True,True,True,False,False,False
Lynn,True,True,False,True,True,False,False,False
Madison,True,False,True,True,True,False,False,False
Marion,True,False,False,True,True,False,False,False
Martin,True,False,False,True,True,False,False,False
Mason,True,False,False,True,True,False,False,False
Matagorda,True,False,True,True,True,False,False,False
Maverick,True,True,False,True,True,False,False,False
McCulloch,True,False,False,True,True,False,False,False
McLennan,True,False,False,True,True,False,False,False
Medina,True,False,True,True,True,False,False,False
Menard,True,False,False,True,True,False,False,False
Midland,True,True,False,True,True,False,False,False
Milam,True,False,True,True,True,False,False,False
Mills,True,False,True,True,True,False,False,False
Montague,True,True,False,True,True,True,False,False
Montgomery,True,False,False,True,True,False,False,False
Moore,True,False,True,True,True,True,False,False
Morris,True,True,False,True,True,False,False,False
Motley,True,True,False,True,True,False,False,False
Nacogdoches,True,False,False,True,True,False,False,False
Navarro,True,False,False,False,False,False,False,False
Newton,True,False,False,False,False,False,False,False
Nolan,True,True,False,True,True,False,False,False
Nueces,True,False,True,True,True,False,False,False
Ochiltree,True,False,False,True,True,False,False,False
Oldham,True,False,False,False,False,False,False,False
Orange,True,False,True,True,True,False,False,False
Palo Pinto,True,False,False,True,True,False,False,False
Panola,True,True,False,True,True,False,False,False
Parker,True,False,True,True,True,True,True,False
Parmer,True,False,False,False,False,False,False,False
Pecos,True,False,True,True,True,True,False,False
Polk,True,False,True,True,True,False,False,False
Potter,True,False,True,True,True,False,False,False
Presidio,True,True,False,True,True,False,False,False
Rains,True,False,True,True,True,False,False,False
Randall,True,False,False,True,True,False,False,False
Reagan,True,False,False,True,True,False,False,False
Real,True,False,True,True,True,True,False,False
Red River,True,False,True,True,True,False,False,False
Refugio,True,False,False,True,True,False,False,False
Roberts,True,False,False,True,True,False,False,False
Robertson,True,False,True,True,True,True,False,False
Rockwall,True,False,False,False,False,False,False,False
Runnels,True,False,False,True,True,False,False,False
Rusk,True,True,False,True,True,False,False,False
Sabine,True,False,True,True,True,False,False,False
San Augustine,True,False,False,True,True,False,False,False
San Jacinto,True,False,True,True,True,False,False,False
San Patricio,True,False,False,True,True,False,False,False
Schleicher,True,False,True,True,True,False,False,False
Scurry,True,False,False,True,True,True,False,False
Shackelford,True,False,True,True,True,False,False,False
Sherman,True,False,False,False,False,False,False,False
Smith,True,False,False,False,False,False,False,False
Somervell,True,True,False,True,True,False,False,False
Sterling,True,False,True,True,True,False,False,False
Stonewall,True,False,True,True,True,False,False,False
Sutton,True,False,True,True,True,False,False,False
Swisher,True,False,False,False,False,False,False,False
Tarrant,True,False,True,True,True,False,False,False
Taylor,True,False,True,True,True,False,False,False
Terrell,True,True,False,True,True,False,False,False
Terry,True,True,False,True,True,False,False,False
Throckmorton,True,False,False,True,True,False,False,False
Titus,True,False,False,True,True,False,False,False
Tom Green,True,False,False,True,True,False,False,False
Travis,True,True,False,True,True,False,False,False
Trinity,True,False,False,False,False,False,False,False
Tyler,True,False,True,True,True,False,False,False
Upshur,True,False,False,True,True,False,False,False
Upton,True,False,True,True,True,True,False,False
Uvalde,True,False,True,True,True,False,False,False
Val Verde,True,False,False,True,True,False,False,False
Van Zandt,True,False,True,True,True,True,False,False
Victoria,True,False,False,True,True,False,False,False
Walker,True,False,True,True,True,False,False,False
Waller,True,False,True,True,True,False,False,False
Ward,True,False,True,True,True,False,False,False
Washington,True,False,True,True,True,True,False,False
Webb,True,False,False,True,True,False,False,False
Wharton,True,False,True,True,True,True,False,False
Wheeler,True,False,True,True,True,False,False,False
Wichita,True,False,True,True,True,False,False,False
Wilbarger,True,False,False,True,True,False,False,False
Willacy,True,False,False,True,True,False,False,False
Williamson,True,True,False,True,True,True,False,False
Wilson,True,True,False,True,True,True,False,False
Wise,True,False,True,True,True,False,False,False
Wood,True,False,True,True,True,False,False,False
Yoakum,True,True,False,True,True,False,False,False
Young,True,False,True,True,True,False,False,False
Zapata,True,False,True,True,True,False,False,True
Zavala,True,True,False,True,True,False,False,False
