county,votes,mail,absentee,early_voting,election_day,provisional,limited,other
Anderson,True,False,False,True,True,False,False,False
Andrews,True,False,True,True,True,False,False,False
Angelina,True,True,False,True,True,False,False,False
Aransas,True,False,True,True,True,False,False,False
Archer,True,False,True,True,True,False,False,False
Armstrong,True,False,False,False,False,False,False,False
Atascosa,True,True,False,True,True,False,False,True
Austin,True,False,True,True,True,False,False,False
Bailey,True,False,False,True,True,False,False,False
Bandera,True,False,True,True,True,False,False,False
Bastrop,True,False,True,True,True,False,False,False
Baylor,True,False,False,True,True,False,False,False
Bee,True,False,True,True,True,False,False,False
Bell,True,False,True,True,True,False,False,False
Bexar,True,False,True,True,True,False,False,False
Blanco,True,False,True,True,True,False,False,False
Borden,True,False,False,True,True,False,False,False
Bosque,True,False,True,True,True,True,False,False
Bowie,True,False,True,True,True,False,False,False
Brazoria,True,False,False,True,True,False,False,False
Brazos,True,False,True,True,True,False,False,False
Brewster,True,False,False,True,True,False,False,False
Briscoe,True,False,True,True,True,False,False,False
Brooks,True,False,True,True,True,False,False,False
Brown,True,False,True,True,True,False,False,False
Burleson,True,False,False,True,True,False,False,False
Burnet,True,False,True,True,True,False,False,False
Caldwell,True,False,False,False,False,False,False,False
Calhoun,True,False,False,True,True,False,False,False
Callahan,True,False,True,True,True,False,False,False
Cameron,True,False,False,False,False,False,False,False
Camp,True,False,False,True,True,False,False,False
Carson,True,False,False,False,False,False,False,False
Cass,True,False,True,True,True,False,False,False
Castro,True,False,True,True,True,False,False,False
Chambers,True,False,True,True,True,False,False,False
Cherokee,True,False,True,True,True,False,False,False
Clay,True,False,True,True,True,True,False,False
Cochran,True,False,False,False,False,False,False,False
Coke,True,False,True,True,True,False,False,False
Coleman,True,False,True,True,True,False,False,False
Collin,True,False,True,True,True,False,False,False
Collingsworth,True,False,False,False,False,False,False,False
Colorado,True,False,True,True,True,False,False,False
Comal,True,False,True,True,True,False,False,False
Comanche,True,False,False,True,True,False,False,False
Concho,True,False,True,True,True,False,False,False
Cooke,True,False,False,True,True,False,False,False
Coryell,True,False,False,True,True,False,False,False
Cottle,True,True,False,True,True,False,False,False
Crane,True,False,True,True,True,False,False,False
Crockett,True,False,False,True,True,False,False,False
Crosby,True,False,False,True,True,False,False,False
Culberson,True,False,True,True,True,False,False,False
Dallam,True,False,True,True,True,False,False,False
Dallas,True,False,True,True,True,True,False,False
Dawson,True,False,True,True,True,False,False,False
DeWitt,True,False,True,True,True,False,False,False
Deaf Smith,True,False,True,True,True,False,False,False
Delta,True,False,True,True,True,False,False,False
Denton,True,False,False,True,True,False,False,False
