county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day
Madison,101,Ballots Cast,,,,1178,,,
Madison,101,Registered Voters,,,,1807,,,
Madison,101,President,,Donald J. Trump Michael R. Pence,REP,75,706,166,947
Madison,101,President,,Joseph R. Biden Kamala D. Harris,DEM,29,149,45,223
Madison,101,President,,"Jo Jorgensen Jeremy ""Spike"" Cohen",LIB,0,5,1,6
Madison,101,President,,Howie Hawkins Angela Walker,GRN,0,0,0,0
Madison,101,President,,BRIAN CARROLL AMAR PATEL (W),,0,0,0,0
Madison,101,President,,Under Votes,,0,0,1,1
Madison,101,President,,Over Votes,,1,0,0,1
Madison,101,U.S. Senate,,John Cornyn,REP,74,690,160,924
Madison,101,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,26,143,37,206
Madison,101,U.S. Senate,,Kerry Douglas McKennon,LIB,1,7,6,14
Madison,101,U.S. Senate,,David B. Collins,GRN,0,1,1,2
Madison,101,U.S. Senate,,Under Votes,,3,19,9,31
Madison,101,U.S. Senate,,Over Votes,,1,0,0,1
Madison,101,U.S. House,8,Kevin Brady,REP,73,699,164,936
Madison,101,U.S. House,8,Elizabeth Hernandez,DEM,25,139,40,204
Madison,101,U.S. House,8,Chris Duncan,LIB,2,9,3,14
Madison,101,U.S. House,8,Under Votes,,4,13,6,23
Madison,101,U.S. House,8,Over Votes,,1,0,0,1
Madison,101,Railroad Commissioner,,"James ""Jim"" Wright",REP,67,680,166,913
Madison,101,Railroad Commissioner,,Chrysta Castañeda,DEM,24,137,38,199
Madison,101,Railroad Commissioner,,Matt Sterett,LIB,4,12,2,18
Madison,101,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,1,2,0,3
Madison,101,Railroad Commissioner,,Under Votes,,9,29,7,45
Madison,101,Railroad Commissioner,,Over Votes,,0,0,0,0
Madison,101,Chief Justice Supreme Court,,Nathan Hecht,REP,69,673,158,900
Madison,101,Chief Justice Supreme Court,,Amy Clark Meachum,DEM,25,146,38,209
Madison,101,Chief Justice Supreme Court,,Mark Ash,LIB,1,11,7,19
Madison,101,Chief Justice Supreme Court,,Under Votes,,9,30,10,49
Madison,101,Chief Justice Supreme Court,,Over Votes,,1,0,0,1
Madison,101,Justice Supreme Court Place No. 6 Unexpired Term,,Jane Bland,REP,71,687,168,926
Madison,101,Justice Supreme Court Place No. 6 Unexpired Term,,Kathy Cheng,DEM,25,144,35,204
Madison,101,Justice Supreme Court Place No. 6 Unexpired Term,,Under Votes,,9,29,10,48
Madison,101,Justice Supreme Court Place No. 6 Unexpired Term,,Over Votes,,0,0,0,0
Madison,101,Justice Supreme Court Place No. 7,,Jeff Boyd,REP,68,675,163,906
