county,precinct,office,district,candidate,party,votes,early_voting,election_day
Tom Green,106,President,,Michael R. Bloomberg,D,10,2,8
Tom Green,106,President,,John K. Delaney,D,2,0,2
Tom Green,106,President,,Tom Steyer,D,1,0,1
Tom Green,106,President,,Tulsi Gabbard,D,0,0,0
Tom Green,106,President,,Robby Wells,D,1,0,1
Tom Green,106,President,,Bernie Sanders,D,38,9,29
Tom Green,106,President,,Cory Booker,D,0,0,0
Tom Green,106,President,,Joseph R. Biden,D,34,13,21
Tom Green,106,President,,Pete Buttigieg,D,0,0,0
Tom Green,106,President,,Deval Patrick,D,0,0,0
Tom Green,106,President,,Amy Klobuchar,D,0,0,0
Tom Green,106,President,,Julián Castro,D,0,0,0
Tom Green,106,President,,Marianne Williamson,D,0,0,0
Tom Green,106,Registered Voters,,,,1304,,
Tom Green,106,President,,"Roque ""Rocky"" De La Fuente",D,0,0,0
Tom Green,106,President,,Michael Bennet,D,0,0,0
Tom Green,106,President,,Andrew Yang,D,0,0,0
Tom Green,106,President,,Elizabeth Warren,D,6,2,4
Tom Green,106,U.S. Senate,,Royce West,D,4,2,2
Tom Green,106,U.S. Senate,,Chris Bell,D,9,2,7
Tom Green,106,U.S. Senate,,Michael Cooper,D,6,1,5
Tom Green,106,U.S. Senate,,D. R. Hunter,D,2,1,1
Tom Green,106,U.S. Senate,,"Annie ""Mamá"" Garcia",D,30,10,20
Tom Green,106,U.S. Senate,,Amanda K. Edwards,D,4,1,3
Tom Green,106,U.S. Senate,,Jack Daniel Foster Jr.,D,3,0,3
Tom Green,106,U.S. Senate,,Cristina Tzintzun Ramirez,D,18,4,14
Tom Green,106,U.S. Senate,,Victor Hugo Harris,D,0,0,0
Tom Green,106,U.S. Senate,,Sema Hernandez,D,7,4,3
Tom Green,106,U.S. Senate,,"Mary ""MJ"" Hegar",D,3,0,3
Tom Green,106,U.S. Senate,,Adrian Ocegueda,D,2,1,1
Tom Green,106,U.S. House,11,Jon Mark Hogg,D,70,22,48
Tom Green,106,Railroad Commissioner,,Kelly Stone,D,11,2,9
Tom Green,106,Railroad Commissioner,,"Roberto R. ""Beto"" Alonzo",D,43,11,32
Tom Green,106,Railroad Commissioner,,Mark Watson,D,8,3,5
Tom Green,106,Railroad Commissioner,,Chrysta Castañeda,D,24,8,16
Tom Green,106,"Chief Justice, Supreme Court",,Jerry Zimmerer,D,21,6,15
Tom Green,106,"Chief Justice, Supreme Court",,Amy Clark Meachum,D,64,19,45
Tom Green,106,"Justice, Supreme Court, Place 6, Unexpired Term",,Larry Praeger,D,22,9,13
Tom Green,106,"Justice, Supreme Court, Place 6, Unexpired Term",,Kathy Cheng,D,64,16,48
Tom Green,106,"Justice, Supreme Court, Place 7",,Staci Williams,D,44,16,28
Tom Green,106,"Justice, Supreme Court, Place 7",,Brandy Voss,D,40,9,31
Tom Green,106,"Justice, Supreme Court, Place 8",,Peter Kelly,D,24,6,18
