county,precinct,office,district,party,candidate,early_voting,election_day,votes
Real,1,Chief Justice 4 Th Court Of Appeals District,,,Rebeca Martinez,69,13,82
Real,1,Chief Justice 4 Th Court Of Appeals District,,,Renee Yanta,371,55,426
Real,2,Chief Justice 4 Th Court Of Appeals District,,,Rebeca Martinez,72,9,81
Real,2,Chief Justice 4 Th Court Of Appeals District,,,Renee Yanta,436,64,500
Real,3,Chief Justice 4 Th Court Of Appeals District,,,Rebeca Martinez,61,21,82
Real,3,Chief Justice 4 Th Court Of Appeals District,,,Renee Yanta,169,75,244
Real,4~7,Chief Justice 4 Th Court Of Appeals District,,,Rebeca Martinez,18,5,23
Real,4~7,Chief Justice 4 Th Court Of Appeals District,,,Renee Yanta,167,48,215
Real,6,Chief Justice 4 Th Court Of Appeals District,,,Rebeca Martinez,34,5,39
Real,6,Chief Justice 4 Th Court Of Appeals District,,,Renee Yanta,178,23,201
Real,2,Chief Justice Supreme Court,,,Amy Clark Meachum,73,9,82
Real,2,Chief Justice Supreme Court,,,Mark Ash,5,1,6
Real,2,Chief Justice Supreme Court,,,Nathan Hecht,434,64,498
Real,3,Chief Justice Supreme Court,,,Amy Clark Meachum,55,17,72
Real,3,Chief Justice Supreme Court,,,Mark Ash,2,1,3
Real,3,Chief Justice Supreme Court,,,Nathan Hecht,171,77,248
Real,4~7,Chief Justice Supreme Court,,,Amy Clark Meachum,20,5,25
Real,4~7,Chief Justice Supreme Court,,,Mark Ash,0,0,0
Real,4~7,Chief Justice Supreme Court,,,Nathan Hecht,164,47,211
Real,6,Chief Justice Supreme Court,,,Amy Clark Meachum,36,5,41
Real,6,Chief Justice Supreme Court,,,Mark Ash,2,2,4
Real,6,Chief Justice Supreme Court,,,Nathan Hecht,174,22,196
Real,1,County Attorney,,,Bobby Jack Rushing,391,60,451
Real,2,County Attorney,,,Bobby Jack Rushing,466,67,533
Real,3,County Attorney,,,Bobby Jack Rushing,192,85,277
Real,4~7,County Attorney,,,Bobby Jack Rushing,165,49,214
Real,6,County Attorney,,,Bobby Jack Rushing,195,23,218
Real,1,County Commissioner Precinct 1,,,Brad Hart,371,59,430
Real,3,County Commissioner Precinct 3,,,Ramon R. Ybarra Jr,193,88,281
Real,1,County Constable,,,Kevin Chisum,405,57,462
Real,2,County Constable,,,Kevin Chisum,481,72,553
Real,3,County Constable,,,Kevin Chisum,186,87,273
Real,4~7,County Constable,,,Kevin Chisum,168,52,220
Real,6,County Constable,,,Kevin Chisum,195,25,220
Real,1,County Tax Assessor Collector,,,Terrie Pendley,384,60,444
Real,2,County Tax Assessor Collector,,,Terrie Pendley,457,68,525
Real,3,County Tax Assessor Collector,,,Terrie Pendley,191,87,278
Real,4~7,County Tax Assessor Collector,,,Terrie Pendley,168,51,219
Real,6,County Tax Assessor Collector,,,Terrie Pendley,187,21,208
Real,1,District Attorney 38 Th Judicial District,,,Christina Mitchell Busbee,386,57,443
Real,2,District Attorney 38 Th Judicial District,,,Christina Mitchell Busbee,451,67,518
Real,3,District Attorney 38 Th Judicial District,,,Christina Mitchell Busbee,189,88,277
Real,4~7,District Attorney 38 Th Judicial District,,,Christina Mitchell Busbee,167,51,218
Real,6,District Attorney 38 Th Judicial District,,,Christina Mitchell Busbee,191,25,216
Real,1,District Judge 38 Th Judicial District,,,Camile Glasscock Dubose,388,56,444
Real,2,District Judge 38 Th Judicial District,,,Camile Glasscock Dubose,462,70,532
Real,3,District Judge 38 Th Judicial District,,,Camile Glasscock Dubose,193,89,282
Real,4~7,District Judge 38 Th Judicial District,,,Camile Glasscock Dubose,171,52,223
Real,2,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,437,64,501
Real,2,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,75,7,82
Real,3,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,170,76,246
Real,3,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,51,16,67
Real,4~7,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,166,49,215
Real,4~7,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,17,5,22
Real,6,Judge Court Of Criminal Appeals Place 3,,,Bert Richardson,175,20,195
Real,6,Judge Court Of Criminal Appeals Place 3,,,Elizabeth Davis Frizell,33,6,39
