candidate,office,district,party,county,precinct,Votes,,,,
Donald J Trump,President,,REP,San Augustine,1,544,,,,
Joseph R Biden,President,,DEM,San Augustine,1,290,,,,
Jo Jorgensen,President,,LIB,San Augustine,1,4,,,,
Howie Hawkins,President,,GRN,San Augustine,1,1,,,,
Total Ballots Cast,President,,,San Augustine,1,846,,,,
Absentee Voting Ballots Cast,President,,,San Augustine,1,62,,,,
Early Voting Ballots Cast,President,,,San Augustine,1,582,,,,
Election Day Voting Ballots Cast,President,,,San Augustine,1,202,,,,
John Cornyn,U.S. Senate,,REP,San Augustine,1,537,,,,
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,San Augustine,1,276,,,,
Kerry Douglas McKennon,U.S. Senate,,LIB,San Augustine,1,8,,,,
David B. Collins,U.S. Senate,,GRN,San Augustine,1,5,,,,
Total Ballots Cast,U.S. Senate,,,San Augustine,1,846,,,,
Absentee Voting Ballots Cast,U.S. Senate,,,San Augustine,1,62,,,,
Early Voting Ballots Cast,U.S. Senate,,,San Augustine,1,582,,,,
Election Day Voting Ballots Cast,U.S. Senate,,,San Augustine,1,202,,,,
Louie Gohmert,U.S. House,1,REP,San Augustine,1,544,,,,
Hank Gilbert,U.S. House,1,DEM,San Augustine,1,281,,,,
Total Ballots Cast,U.S. House,1,,San Augustine,1,846,,,,
Absentee Voting Ballots Cast,U.S. House,1,,San Augustine,1,62,,,,
Early Voting Ballots Cast,U.S. House,1,,San Augustine,1,582,,,,
Election Day Voting Ballots Cast,U.S. House,1,,San Augustine,1,202,,,,
"James ""Jim"" Wright",Railroad Commissioner,,REP,San Augustine,1,531,,,,
Chrysta Castaneda,Railroad Commissioner,,DEM,San Augustine,1,262,,,,
Matt Sterett,Railroad Commissioner,,LIB,San Augustine,1,9,,,,
"Katija ""Kat"" Gruene",Railroad Commissioner,,GRN,San Augustine,1,3,,,,
Total Ballots Cast,Railroad Commissioner,,,San Augustine,1,846,,,,
Absentee Voting Ballots Cast,Railroad Commissioner,,,San Augustine,1,62,,,,
Early Voting Ballots Cast,Railroad Commissioner,,,San Augustine,1,582,,,,
Election Day Voting Ballots Cast,Railroad Commissioner,,,San Augustine,1,202,,,,
Trent Ashby,State Representative,57,REP,San Augustine,1,549,,,,
Jason Rogers,State Representative,57,DEM,San Augustine,1,264,,,,
Total Ballots Cast,State Representative,57,,San Augustine,1,846,,,,
Absentee Voting Ballots Cast,State Representative,57,,San Augustine,1,62,,,,
Early Voting Ballots Cast,State Representative,57,,San Augustine,1,582,,,,
Election Day Voting Ballots Cast,State Representative,57,,San Augustine,1,202,,,,
Donald J Trump,President,,REP,San Augustine,2,129,,,,
Joseph R Biden,President,,DEM,San Augustine,2,115,,,,
Jo Jorgensen,President,,LIB,San Augustine,2,0,,,,
Howie Hawkins,President,,GRN,San Augustine,2,0,,,,
Total Ballots Cast,President,,,San Augustine,2,245,,,,
Absentee Voting Ballots Cast,President,,,San Augustine,2,25,,,,
Early Voting Ballots Cast,President,,,San Augustine,2,157,,,,
Election Day Voting Ballots Cast,President,,,San Augustine,2,63,,,,
John Cornyn,U.S. Senate,,REP,San Augustine,2,123,,,,
"Mary ""MJ"" Hegar",U.S. Senate,,DEM,San Augustine,2,111,,,,
Kerry Douglas McKennon,U.S. Senate,,LIB,San Augustine,2,2,,,,
David B. Collins,U.S. Senate,,GRN,San Augustine,2,0,,,,
Total Ballots Cast,U.S. Senate,,,San Augustine,2,245,,,,
Absentee Voting Ballots Cast,U.S. Senate,,,San Augustine,2,25,,,,
Early Voting Ballots Cast,U.S. Senate,,,San Augustine,2,157,,,,
Election Day Voting Ballots Cast,U.S. Senate,,,San Augustine,2,63,,,,
Louie Gohmert,U.S. House,1,REP,San Augustine,2,136,,,,
Hank Gilbert,U.S. House,1,DEM,San Augustine,2,106,,,,
Total Ballots Cast,U.S. House,1,,San Augustine,2,245,,,,
Absentee Voting Ballots Cast,U.S. House,1,,San Augustine,2,25,,,,
Early Voting Ballots Cast,U.S. House,1,,San Augustine,2,157,,,,
