county,precinct,office,district,party,candidate,votes,mail,early_voting,election_day
Jasper,BOX 1,Registered Voters,,,,44,,,
Jasper,BOX 1,Ballots Cast,,,,25,0,0,25
Jasper,BOX 1,Ballots Cast,,REP,,14,0,0,14
Jasper,BOX 1,Ballots Cast,,DEM,,11,0,0,11
Jasper,BOX 1,"President",,REP,Donald J. Trump,14,0,0,14
Jasper,BOX 1,"President",,REP,Bill Weld,0,0,0,0
Jasper,BOX 1,"President",,REP,Zoltan G. Istvan,0,0,0,0
Jasper,BOX 1,"President",,REP,"Roque ""Rocky"" De La Fuente Guerra",0,0,0,0
Jasper,BOX 1,"President",,REP,Joe Walsh,0,0,0,0
Jasper,BOX 1,"President",,REP,Bob Ely,0,0,0,0
Jasper,BOX 1,"President",,REP,Matthew John Matern,0,0,0,0
Jasper,BOX 1,"President",,REP,Uncommitted,0,0,0,0
Jasper,BOX 1,"US Senator",,REP,Mark Yancey,2,0,0,2
Jasper,BOX 1,"US Senator",,REP,John Cornyn,7,0,0,7
Jasper,BOX 1,"US Senator",,REP,Dwayne Stovall,2,0,0,2
Jasper,BOX 1,"US Senator",,REP,Virgil Bierschwale,0,0,0,0
Jasper,BOX 1,"US Senator",,REP,John Anthony Castro,1,0,0,1
Jasper,BOX 1,"US Representative, Dist 36",,REP,Brian Babin,13,0,0,13
Jasper,BOX 1,"US Representative, Dist 36",,REP,RJ Boatman,0,0,0,0
Jasper,BOX 1,"Railroad Commissioner",,REP,"James ""Jim"" Wright",13,0,0,13
Jasper,BOX 1,"Railroad Commissioner",,REP,Ryan Sitton,0,0,0,0
Jasper,BOX 1,"Chief Justice, Supreme Court",,REP,Nathan Hecht,12,0,0,12
Jasper,BOX 1,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,12,0,0,12
Jasper,BOX 1,"Justice, Supreme Court, Pl 7",,REP,Jeff Boyd,13,0,0,13
Jasper,BOX 1,"Justice, Supreme Court, Pl 8",,REP,Brett Busby,13,0,0,13
Jasper,BOX 1,"Judge, Ct of Crim App, Pl 3",,REP,Gina Parker,5,0,0,5
Jasper,BOX 1,"Judge, Ct of Crim App, Pl 3",,REP,Bert Richardson,8,0,0,8
Jasper,BOX 1,"Judge, Ct of Crim App, Pl 4",,REP,Kevin Patrick Yeary,13,0,0,13
Jasper,BOX 1,"Judge, Ct of Crim App, Pl 9",,REP,David Newell,13,0,0,13
Jasper,BOX 1,"State Representative, Dist 19",,REP,James White,13,0,0,13
Jasper,BOX 1,"Chief Justice, 9th Ct of App Dist",,REP,"Chuck ""Charles B"" Meyer",6,0,0,6
Jasper,BOX 1,"Chief Justice, 9th Ct of App Dist",,REP,Jay Wright,2,0,0,2
Jasper,BOX 1,"Chief Justice, 9th Ct of App Dist",,REP,Colleen Cordts Rice,1,0,0,1
Jasper,BOX 1,"Chief Justice, 9th Ct of App Dist",,REP,Scott Golemon,0,0,0,0
Jasper,BOX 1,"Chief Justice, 9th Ct of App Dist",,REP,Jarrod Lee Walker,3,0,0,3
Jasper,BOX 1,"Dist Judge, 1st Judicial Dist",,REP,Craig M. Mixson,13,0,0,13
Jasper,BOX 1,"Sheriff",,REP,Mitchel Newman,13,0,0,13
Jasper,BOX 1,"County Tax Assessor-Collector",,REP,Bobby Biscamp,10,0,0,10
Jasper,BOX 1,"County Tax Assessor-Collector",,REP,Cindy Stephenson,3,0,0,3
Jasper,BOX 1,"County Commissioner Precinct 1",,REP,Roy Eddie Robinson,5,0,0,5
