county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Hood,Precinct 15,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 15,President / Vice President,,Under Votes,,0,0,0,0,0
Hood,Precinct 15,U.S. Senate,,John Cornyn,REP,273,13,167,93,0
Hood,Precinct 15,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,57,9,30,18,0
Hood,Precinct 15,U.S. Senate,,Kerry Douglas McKennon,LIB,13,0,8,5,0
Hood,Precinct 15,U.S. Senate,,David B. Collins,GRN,2,0,2,0,0
Hood,Precinct 15,U.S. Senate,,Write-In,,0,0,0,0,0
Hood,Precinct 15,U.S. Senate,,Over Votes,,0,0,0,0,0
Hood,Precinct 15,U.S. Senate,,Under Votes,,7,0,5,2,0
Hood,Precinct 15,U.S. House,11,August Pfluger,REP,255,10,163,92,0
Hood,Precinct 15,U.S. House,11,Jon Mark Hogg,DEM,59,8,32,19,0
Hood,Precinct 15,U.S. House,11,Wacey Alpha Cody,LIB,11,0,7,4,0
Hood,Precinct 15,U.S. House,11,Over Votes,,0,0,0,0,0
Hood,Precinct 15,U.S. House,11,Under Votes,,17,4,10,3,0
Hood,Precinct 15,Railroad Commissioner,,"James ""Jim"" Wright",REP,268,13,164,91,0
Hood,Precinct 15,Railroad Commissioner,,Chrysta Castaneda,DEM,55,8,30,17,0
Hood,Precinct 15,Railroad Commissioner,,Matt Sterett,LIB,15,0,8,7,0
Hood,Precinct 15,Railroad Commissioner,,"Katija ""Kat"" Gruene",GRN,2,1,0,1,0
Hood,Precinct 15,Railroad Commissioner,,Over Votes,,0,0,0,0,0
Hood,Precinct 15,Railroad Commissioner,,Under Votes,,12,0,10,2,0
Hood,Precinct 15,State Senate,22,Brian Birdwell,REP,278,11,173,94,0
Hood,Precinct 15,State Senate,22,Robert Vick,DEM,57,7,30,20,0
Hood,Precinct 15,State Senate,22,Over Votes,,0,0,0,0,0
Hood,Precinct 15,State Senate,22,Under Votes,,17,4,9,4,0
Hood,Precinct 15,State Representative,60,Glenn Rogers,REP,296,11,187,98,0
Hood,Precinct 15,State Representative,60,Over Votes,,0,0,0,0,0
Hood,Precinct 15,State Representative,60,Under Votes,,55,11,25,20,0
Hood,Precinct 14,Registered Voters,,,,3601,,,,
Hood,Precinct 14,Ballots Cast,,,,2605,277,1767,538,24
Hood,Precinct 14,President / Vice President,,Donald J. Trump / Michael R. Pence,REP,2055,146,1457,432,20
Hood,Precinct 14,President / Vice President,,Joseph R. Biden / Kamala D. Harris,DEM,514,129,289,92,4
Hood,Precinct 14,President / Vice President,,"Jo Jorgensen / Jeremy ""Spike"" Cohen",LIB,24,1,15,8,0
Hood,Precinct 14,President / Vice President,,Howie Hawkins / Angela Walker,GRN,3,0,2,1,0
Hood,Precinct 14,President / Vice President,,Write-In,,5,1,2,3,0
Hood,Precinct 14,President / Vice President,,Over Votes,,0,0,0,0,0
Hood,Precinct 14,President / Vice President,,Under Votes,,4,0,2,2,0
Hood,Precinct 14,U.S. Senate,,John Cornyn,REP,2053,156,1447,430,20
Hood,Precinct 14,U.S. Senate,,"Mary ""MJ"" Hegar",DEM,455,111,259,82,4
Hood,Precinct 14,U.S. Senate,,Kerry Douglas McKennon,LIB,42,3,30,9,0
Hood,Precinct 14,U.S. Senate,,David B. Collins,GRN,13,1,8,4,0
