county,precinct,office,district,party,candidate,votes,early_voting,election_day
Callahan,1,Straight Party,,,Over Votes,0,0,0
Callahan,1,Straight Party,,,Under Votes,253,114,139
Callahan,1,Registered Voters,,,,2240,,
Callahan,1,Ballots Cast,,,,626,290,180
Callahan,1,Straight Party,,REP,Republican Party,339,159,180
Callahan,1,Straight Party,,,Over Votes,0,0,0
Callahan,1,Straight Party,,,Under Votes,253,114,139
Callahan,1,Straight Party,,DEM,Democratic Party,30,16,14
Callahan,1,Straight Party,,LIB,Libertarian Party,3,1,2
Callahan,1,Straight Party,,GRN,Green Party,1,0,1
Callahan,1,U.S. Senate,,REP,John Cornyn,527,245,282
Callahan,1,U.S. Senate,,,Over Votes,0,0,0
Callahan,1,U.S. Senate,,,Under Votes,21,10,11
Callahan,1,U.S. Senate,,DEM,David M. Alameel,60,30,30
Callahan,1,U.S. Senate,,LIB,Rebecca Paddock,12,4,8
Callahan,1,U.S. Senate,,GRN,"Emily ""Spicybrown"" Sanchez",6,1,5
Callahan,1,U.S. House,11,REP,Mike Conaway,536,252,284
Callahan,1,U.S. House,11,,Over Votes,0,0,0
Callahan,1,U.S. House,11,,Under Votes,42,19,23
Callahan,1,U.S. House,11,LIB,Ryan T. Lange,48,19,29
Callahan,1,Governor,,REP,Greg Abbott,539,253,286
Callahan,1,Governor,,,Over Votes,0,0,0
Callahan,1,Governor,,,Under Votes,8,2,6
Callahan,1,Governor,,DEM,Wendy R. Davis,73,34,39
Callahan,1,Governor,,LIB,Kathie Glass,4,1,3
Callahan,1,Governor,,GRN,Brandon Parmer,2,0,2
Callahan,1,Lieutenant Governor,,REP,Dan Patrick,527,246,281
Callahan,1,Lieutenant Governor,,,Over Votes,0,0,0
Callahan,1,Lieutenant Governor,,,Under Votes,8,2,6
Callahan,1,Lieutenant Governor,,DEM,Leticia Van de Putte,78,38,40
Callahan,1,Lieutenant Governor,,LIB,Robert D. Butler,11,3,8
Callahan,1,Lieutenant Governor,,GRN,Chandrakantha Courtney,2,1,1
Callahan,1,Attorney General,,REP,Ken Paxton,514,239,275
Callahan,1,Attorney General,,,Over Votes,0,0,0
Callahan,1,Attorney General,,,Under Votes,8,5,3
Callahan,1,Attorney General,,DEM,Sam Houston,88,41,47
Callahan,1,Attorney General,,LIB,Jamie Balagia,12,3,9
Callahan,1,Attorney General,,GRN,Jamar Osborne,4,2,2
Callahan,1,Comptroller of Public Accounts,,REP,Glenn Hegar,502,236,266
Callahan,1,Comptroller of Public Accounts,,,Over Votes,0,0,0
Callahan,1,Comptroller of Public Accounts,,,Under Votes,13,5,8
Callahan,1,Comptroller of Public Accounts,,DEM,Mike Collier,84,39,45
Callahan,1,Comptroller of Public Accounts,,LIB,Ben Sanders,24,8,16
Callahan,1,Comptroller of Public Accounts,,GRN,Deb Shafto,3,2,1
