office,district,candidate,incumbent,party,votes,pct
U.S. Senate,,Paul Sadler,FALSE,DEM,148940,63.03
U.S. Senate,,Grady Yarbrough,FALSE,DEM,87365,36.97
U.S. Senate,,Total,,,236305,
U. S. Representative,5,Tom Berry,FALSE,DEM,1190,39.17
U. S. Representative,5,Linda S. Mrosko,FALSE,DEM,1848,60.83
U. S. Representative,5,Total,,,3038,
U. S. Representative,7,James Cargas,FALSE,DEM,2121,57.86
U. S. Representative,7,Lissa Squiers,FALSE,DEM,1545,42.14
U. S. Representative,7,Total,,,3666,
U. S. Representative,23,Pete P. Gallego,FALSE,DEM,15815,54.81
U. S. Representative,23,Ciro D. Rodriguez,FALSE,DEM,13038,45.19
U. S. Representative,23,Total,,,28853,
U. S. Representative,27,Rose Meza Harrison,FALSE,DEM,7024,60.61
U. S. Representative,27,Jerry J. Trevino,FALSE,DEM,4565,39.39
U. S. Representative,27,Total,,,11589,
U. S. Representative,33,Domingo Garcia,FALSE,DEM,9653,47.27
U. S. Representative,33,Marc Veasey,FALSE,DEM,10766,52.73
U. S. Representative,33,Total,,,20419,
U. S. Representative,34,Denise Saenz Blanchard,FALSE,DEM,7824,33.36
U. S. Representative,34,Filemon Vela,FALSE,DEM,15628,66.64
U. S. Representative,34,Total,,,23452,
Member State Board of Education,2,"Ruben Cortez, Jr.",FALSE,DEM,20253,50.57
Member State Board of Education,2,Celeste Zepeda Sanchez,FALSE,DEM,19794,49.43
Member State Board of Education,2,Total,,,40047,
State Representative,40,Terry Canales,FALSE,DEM,3209,52.96
State Representative,40,"Agustin ""Gus"" Hernandez, Jr.",FALSE,DEM,2850,47.04
State Representative,40,Total,,,6059,
State Representative,95,Nicole Collier,FALSE,DEM,4857,59.96
State Representative,95,Jesse Gaines,FALSE,DEM,3244,40.04
State Representative,95,Total,,,8101,
State Representative,117,Philip Cortez,FALSE,DEM,1802,56.97
State Representative,117,Tina Torres,FALSE,DEM,1361,43.03
State Representative,117,Total,,,3163,
State Representative,137,Jamaal R. Smith,FALSE,DEM,435,38.46
State Representative,137,Gene Wu,FALSE,DEM,696,61.54
State Representative,137,Total,,,1131,
Justice 8th Court of Appeals District,2,Marcos Lizarraga,FALSE,DEM,9181,43.09
Justice 8th Court of Appeals District,2,Yvonne Rodriguez,FALSE,DEM,12125,56.91
Justice 8th Court of Appeals District,2,Total,,,21306,
District Judge,37th Judicial District,Nicole Elizalde Henning,FALSE,DEM,10303,44.46
District Judge,37th Judicial District,Michael Mery,FALSE,DEM,12873,55.54
District Judge,37th Judicial District,Total,,,23176,
District Judge,41st Judicial District,Mike Cervantes,FALSE,DEM,7105,47.04
District Judge,41st Judicial District,Anna Perez,FALSE,DEM,7998,52.96
District Judge,41st Judicial District,Total,,,15103,
