county,precinct,office,district,party,candidate,votes,early_voting,election_day
Jim Hogg,1,STRAIGHT PARTY,,REP,Republican,12,6,6
Jim Hogg,1,STRAIGHT PARTY,,DEM,Democratic,184,84,100
Jim Hogg,1,STRAIGHT PARTY,,LIB,Libertarian,2,0,2
Jim Hogg,1,STRAIGHT PARTY,,GRN,Green,0,0,0
Jim Hogg,1,PRESIDENT,,REP,Mitt Romney/Paul Ryan,49,19,30
Jim Hogg,1,PRESIDENT,,DEM,Barack Obama/Joe Biden,371,135,236
Jim Hogg,1,PRESIDENT,,LIB,Gary Johnson/Jim Gray,0,0,0
Jim Hogg,1,PRESIDENT,,GRN,Jill Stein/Cheri Honkala,1,0,1
Jim Hogg,1,U.S. Senate,,REP,Ted Cruz,79,16,63
Jim Hogg,1,U.S. Senate,,DEM,Paul Sadler,307,127,180
Jim Hogg,1,U.S. Senate,,LIB,John Jay Myers,2,0,2
Jim Hogg,1,U.S. Senate,,GRN,David B. Collins,4,1,3
Jim Hogg,1,U.S. House,15,REP,Dale A. Brueggemann,24,7,17
Jim Hogg,1,U.S. House,15,DEM,Ruben Hinojosa,364,138,226
Jim Hogg,1,U.S. House,15,LIB,Ron Finch,5,1,4
Jim Hogg,1,RAILROAD COMMISSIONER, ,REP,Christi Craddick,38,8,30
Jim Hogg,1,RAILROAD COMMISSIONER,,DEM,Dale Henry,332,132,200
Jim Hogg,1,RAILROAD COMMISSIONER,,LIB,Vivekananda (Vik) Wall,1,1,0
Jim Hogg,1,RAILROAD COMMISSIONER,,GRN,Chris Kennedy,8,0,8
Jim Hogg,1,"RAILROAD COMMISSIONER, UNEXPIRED TERM",,REP,Barry Smitherman,68,23,45
Jim Hogg,1,"RAILROAD COMMISSIONER, UNEXPIRED TERM",,LIB,Jaime O. Perez,136,33,103
Jim Hogg,1,"RAILROAD COMMISSIONER, UNEXPIRED TERM",,GRN,Josh Wendel,3,0,3
Jim Hogg,1,"PLACE 2, JUSTICE, SUPREME COURT",,REP,Don Willett,111,29,82
Jim Hogg,1,"PLACE 2, JUSTICE, SUPREME COURT",,LIB,RS Roberto Koelsch,80,22,58
Jim Hogg,1,"PLACE 4, JUSTICE, SUPREME COURT",,REP,John Devine,94,28,66
Jim Hogg,1,"PLACE 4, JUSTICE, SUPREME COURT",,LIB,Tom Oxford,82,21,61
Jim Hogg,1,"PLACE 4, JUSTICE, SUPREME COURT",,GRN,Charles E. Waterbury,14,3,11
Jim Hogg,1,"PLACE 6, JUSTICE, SUPREME COURT",,REP,Nathan Hecht,29,9,20
Jim Hogg,1,"PLACE 6, JUSTICE, SUPREME COURT",,DEM,Michele Petty,335,134,201
Jim Hogg,1,"PLACE 6, JUSTICE, SUPREME COURT",,LIB,Mark Ash,8,1,7
Jim Hogg,1,"PLACE 6, JUSTICE, SUPREME COURT",,GRN,Jim Chisholm,3,1,2
Jim Hogg,1,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,REP,Sharon Keller,39,10,29
Jim Hogg,1,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,DEM,Keith Hampton,332,131,201
